disc,distance,value,area,condition,relativedistance,adjreldistance
MAX_17C_14dec_12.oif,178.988,1365.162,140990.992,cold,110.625,93.16603234
MAX_17C_14dec_12.oif,180.23,1337.508,140990.992,cold,111.867,94.21201844
MAX_17C_14dec_12.oif,181.473,1339.084,140990.992,cold,113.11,95.25884672
MAX_17C_14dec_12.oif,182.716,1331.723,140990.992,cold,114.353,96.305675
MAX_17C_14dec_12.oif,183.959,1316.076,140990.992,cold,115.596,97.35250327
MAX_17C_14dec_12.oif,185.202,1333.526,140990.992,cold,116.839,98.39933155
MAX_17C_14dec_12.oif,186.445,1300.995,140990.992,cold,118.082,99.44615983
MAX_17C_14dec_12.oif,187.688,1348.059,140990.992,cold,119.325,100.4929881
MAX_17C_14dec_12.oif,188.931,1353.363,140990.992,cold,120.568,101.5398164
MAX_17C_14dec_12.oif,190.174,1336.83,140990.992,cold,121.811,102.5866447
MAX_17C_14dec_12.oif,191.417,1317.264,140990.992,cold,123.054,103.6334729
MAX_17C_14dec_12.oif,192.66,1307.26,140990.992,cold,124.297,104.6803012
MAX_17C_14dec_12.oif,193.903,1373.104,140990.992,cold,125.54,105.7271295
MAX_17C_14dec_12.oif,195.146,1432.529,140990.992,cold,126.783,106.7739578
MAX_17C_14dec_12.oif,196.389,1543.01,140990.992,cold,128.026,107.820786
MAX_17C_14dec_12.oif,197.632,1606.941,140990.992,cold,129.269,108.8676143
MAX_17C_14dec_12.oif,198.875,1622.266,140990.992,cold,130.512,109.9144426
MAX_17C_14dec_12.oif,200.118,1656.213,140990.992,cold,131.755,110.9612709
MAX_17C_14dec_12.oif,201.361,1648.015,140990.992,cold,132.998,112.0080992
MAX_17C_14dec_13.oif,0,1852.073,167107.187,cold,-70.849,-54.8070164
MAX_17C_14dec_13.oif,1.243,1920.46,167107.187,cold,-69.606,-53.84546265
MAX_17C_14dec_13.oif,2.486,1874.378,167107.187,cold,-68.363,-52.88390891
MAX_17C_14dec_13.oif,3.729,1936.598,167107.187,cold,-67.12,-51.92235516
MAX_17C_14dec_13.oif,4.972,1949.136,167107.187,cold,-65.877,-50.96080142
MAX_17C_14dec_13.oif,6.215,1951.806,167107.187,cold,-64.634,-49.99924767
MAX_17C_14dec_13.oif,7.458,1946.381,167107.187,cold,-63.391,-49.03769392
MAX_17C_14dec_13.oif,8.701,1939.614,167107.187,cold,-62.148,-48.07614018
MAX_17C_14dec_13.oif,9.944,1980.893,167107.187,cold,-60.905,-47.11458643
MAX_17C_14dec_13.oif,11.187,2031.716,167107.187,cold,-59.662,-46.15303268
MAX_17C_14dec_13.oif,12.43,2024.777,167107.187,cold,-58.419,-45.19147894
MAX_17C_14dec_13.oif,13.673,2058.994,167107.187,cold,-57.176,-44.22992519
MAX_17C_14dec_13.oif,14.916,2037.238,167107.187,cold,-55.933,-43.26837144
MAX_17C_14dec_13.oif,16.159,2051.479,167107.187,cold,-54.69,-42.3068177
MAX_17C_14dec_13.oif,17.402,2020.518,167107.187,cold,-53.447,-41.34526395
MAX_17C_14dec_13.oif,18.645,2046.579,167107.187,cold,-52.204,-40.3837102
MAX_17C_14dec_13.oif,19.888,2076.207,167107.187,cold,-50.961,-39.42215646
MAX_17C_14dec_13.oif,21.13,2036.372,167107.187,cold,-49.719,-38.46137629
MAX_17C_14dec_13.oif,22.373,2045.374,167107.187,cold,-48.476,-37.49982254
MAX_17C_14dec_13.oif,23.616,2019.446,167107.187,cold,-47.233,-36.53826879
MAX_17C_14dec_13.oif,24.859,2051.01,167107.187,cold,-45.99,-35.57671505
MAX_17C_14dec_13.oif,26.102,2039.587,167107.187,cold,-44.747,-34.6151613
MAX_17C_14dec_13.oif,27.345,2052.848,167107.187,cold,-43.504,-33.65360755
MAX_17C_14dec_13.oif,28.588,2092.523,167107.187,cold,-42.261,-32.69205381
MAX_17C_14dec_13.oif,29.831,2101.813,167107.187,cold,-41.018,-31.73050006
MAX_17C_14dec_13.oif,31.074,2128.007,167107.187,cold,-39.775,-30.76894631
MAX_17C_14dec_13.oif,32.317,2109.547,167107.187,cold,-38.532,-29.80739257
MAX_17C_14dec_13.oif,33.56,2141.515,167107.187,cold,-37.289,-28.84583882
MAX_17C_14dec_13.oif,34.803,2169.729,167107.187,cold,-36.046,-27.88428507
MAX_17C_14dec_13.oif,36.046,2197.28,167107.187,cold,-34.803,-26.92273133
MAX_17C_14dec_13.oif,37.289,2155.063,167107.187,cold,-33.56,-25.96117758
MAX_17C_14dec_13.oif,38.532,2167.99,167107.187,cold,-32.317,-24.99962383
MAX_17C_14dec_13.oif,39.775,2150.285,167107.187,cold,-31.074,-24.03807009
MAX_17C_14dec_13.oif,41.018,2160.41,167107.187,cold,-29.831,-23.07651634
MAX_17C_14dec_13.oif,42.261,2154.566,167107.187,cold,-28.588,-22.11496259
MAX_17C_14dec_13.oif,43.504,2194.046,167107.187,cold,-27.345,-21.15340885
MAX_17C_14dec_13.oif,44.747,2196.985,167107.187,cold,-26.102,-20.1918551
MAX_17C_14dec_13.oif,45.99,2204.597,167107.187,cold,-24.859,-19.23030136
MAX_17C_14dec_13.oif,47.233,2191.938,167107.187,cold,-23.616,-18.26874761
MAX_17C_14dec_13.oif,48.476,2272.426,167107.187,cold,-22.373,-17.30719386
MAX_17C_14dec_13.oif,49.719,2295.14,167107.187,cold,-21.13,-16.34564012
MAX_17C_14dec_13.oif,50.962,2280.853,167107.187,cold,-19.887,-15.38408637
MAX_17C_14dec_13.oif,52.205,2293.771,167107.187,cold,-18.644,-14.42253262
MAX_17C_14dec_13.oif,53.448,2384.043,167107.187,cold,-17.401,-13.46097888
MAX_17C_14dec_13.oif,54.691,2460.016,167107.187,cold,-16.158,-12.49942513
MAX_17C_14dec_13.oif,55.934,2439.124,167107.187,cold,-14.915,-11.53787138
MAX_17C_14dec_13.oif,57.177,2398.802,167107.187,cold,-13.672,-10.57631764
MAX_17C_14dec_13.oif,58.42,2405.632,167107.187,cold,-12.429,-9.61476389
MAX_17C_14dec_13.oif,59.662,2382.355,167107.187,cold,-11.187,-8.653983719
MAX_17C_14dec_13.oif,60.905,2486.782,167107.187,cold,-9.944,-7.692429972
MAX_17C_14dec_13.oif,62.148,2421.796,167107.187,cold,-8.701,-6.730876226
MAX_17C_14dec_13.oif,63.391,2402.969,167107.187,cold,-7.458,-5.769322479
MAX_17C_14dec_13.oif,64.634,2432.801,167107.187,cold,-6.215,-4.807768733
MAX_17C_14dec_13.oif,65.877,2447.756,167107.187,cold,-4.972,-3.846214986
MAX_17C_14dec_13.oif,67.12,2492.22,167107.187,cold,-3.729,-2.88466124
MAX_17C_14dec_13.oif,68.363,2482.621,167107.187,cold,-2.486,-1.923107493
